_id,ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4787,163,13444423,Finch Ave E,Don Mills Rd,163,"{'type': 'Point', 'coordinates': (-79.3547360041712, 43.7926600047163)}",,,,2021-05-07T04:00:00,,DON MILLS RD,FINCH AVE E,DON MILLS RD,163,,869,,33,Don Valley North(17),,,,Finch Ave E And Don Mills Rd,North York,6183,FINCH AVE E
4788,164,13446896,Steeles Ave W,Jane St,164,"{'type': 'Point', 'coordinates': (-79.5217349954741, 43.775470007186)}",,,,2021-03-05T05:00:00,,JANE ST,STEELES AVE W,JANE ST,164,,535,,31,Humber River-Black Creek(7),,,,Steeles Ave W And Jane St,Etobicoke York,6185,STEELES AVE W
4789,165,13452283,Sheppard Ave W,Jane St,165,"{'type': 'Point', 'coordinates': (-79.5132209984939, 43.73938900464711)}",,,,2021-05-14T04:00:00,,JANE ST,SHEPPARD AVE W,JANE ST,165,,533,,31,Humber River-Black Creek(7),,York Centre(6),,Sheppard Ave W And Jane St,Etobicoke York,6186,SHEPPARD AVE W
4790,166,13449830,Lawrence Ave E,Midland Ave,166,"{'type': 'Point', 'coordinates': (-79.2650520049525, 43.7515209975058)}",,,,2021-09-30T04:00:00,,MIDLAND AVE,LAWRENCE AVE E,MIDLAND AVE,166,,413,,41,Scarborough Centre(21),,,,Lawrence Ave E And Midland Ave,Scarborough,6187,LAWRENCE AVE E
4791,167,13446827,McCowan Rd,Ellesmere Rd,167,"{'type': 'Point', 'coordinates': (-79.251497995166, 43.7721420056226)}",,,,2021-08-27T04:00:00,,ELLESMERE RD,MCCOWAN RD,ELLESMERE RD,167,,699,,43,Scarborough Centre(21),,Scarborough-Guildwood(24),,Mccowan Rd And Ellesmere Rd,Scarborough,6188,MCCOWAN RD
4792,168,13447827,McCowan Rd,Brimorton Dr,168,"{'type': 'Point', 'coordinates': (-79.2489580019758, 43.7654209967952)}",,,,2021-06-11T04:00:00,,BRIMORTON DR,MCCOWAN RD,BRIMORTON DR,168,,951,,43,Scarborough Centre(21),,Scarborough Guildwood(24),,Mccowan Rd And Brimorton Dr,Scarborough,6190,MCCOWAN RD
4793,169,,,,169,"{'type': 'Point', 'coordinates': (-79.5956219954628, 43.717268007419)}",,,,2021-06-11T04:00:00,,REXDALE BLVD,HIGHWAY 27,REXDALE BLVD,169,,1161,,23,Etobicoke North(1),,,,Highway 27 And Rexdale Blvd,Etobicoke York,6191,HIGHWAY 27
4794,170,13452437,Bathurst St,Wilson Ave,170,"{'type': 'Point', 'coordinates': (-79.4340050046302, 43.7373540023486)}",,,,2021-06-29T04:00:00,,WILSON AVE,BATHURST ST,WILSON AVE,170,,320,,32,York Centre(6),,,,Bathurst St And Wilson Ave,North York,6192,BATHURST ST
4795,171,13465860,Jarvis St,Shuter St,171,"{'type': 'Point', 'coordinates': (-79.3739169933193, 43.6553610036448)}",,,,2021-06-03T04:00:00,,SHUTER ST,JARVIS ST,SHUTER ST,171,,7,,51,Toronto Centre(13),,,,Jarvis St And Shuter St,Toronto and East York,6193,JARVIS ST
4796,172,13448487,Lawrence Ave E,Greencrest Crct,172,"{'type': 'Point', 'coordinates': (-79.2229820032987, 43.7603119953437)}",,,,2021-07-29T04:00:00,GREENHOLM CRCT,GREENCREST CRCT,LAWRENCE AVE E,GREENCREST CRCT,172,,1005,,43,Scarborough-Guildwood(24),,,,Lawrence Ave E And Greencrest Crct / Greenholm Crct,Scarborough,6194,LAWRENCE AVE E
4797,173,13449574,Steeles Ave W,Martin Grove Rd,173,"{'type': 'Point', 'coordinates': (-79.6033810035634, 43.7578610076682)}",,,,2021-06-29T04:00:00,,MARTIN GROVE RD,STEELES AVE W,MARTIN GROVE RD,173,,1486,,23,Etobicoke North(1),,,,Steeles Ave W And Martin Grove Rd,Etobicoke York,6195,STEELES AVE W
4798,174,14134984,Lake Shore Blvd W,Lower Simcoe St,174,"{'type': 'Point', 'coordinates': (-79.3831869970504, 43.6403400048128)}",,,,2021-09-13T04:00:00,,LOWER SIMCOE ST,LAKE SHORE BLVD W,LOWER SIMCOE ST,174,,1747,,52,Spadina-Fort York(10),,,,Lake Shore Blvd W And Lower Simcoe St,Toronto and East York,6196,LAKE SHORE BLVD W
4799,175,13458216,Martin Grove Rd,Belfield Rd,175,"{'type': 'Point', 'coordinates': (-79.5756320005708, 43.7019480092184)}",,,,2021-07-29T04:00:00,,BELFIELD RD,MARTIN GROVE RD,BELFIELD RD,175,,789,,23,Etobicoke North(1),,,,Martin Grove Rd And Belfield Rd,Etobicoke York,6197,MARTIN GROVE RD
4800,176,13442251,Finch Ave E,Markham Rd,176,"{'type': 'Point', 'coordinates': (-79.2430759998232, 43.8129710006548)}",,,,2021-06-03T04:00:00,,MARKHAM RD,FINCH AVE E,MARKHAM RD,176,,1257,,42,Scarborough North(23),,,,Finch Ave E And Markham Rd,Scarborough,6198,FINCH AVE E
4801,177,13443837,Finch Ave E,Warden Ave,177,"{'type': 'Point', 'coordinates': (-79.315766003199, 43.7967720021073)}",,,,2021-06-30T04:00:00,,WARDEN AVE,FINCH AVE E,WARDEN AVE,177,,1035,,42,Scarborough-Agincourt(22),,,,Finch Ave E And Warden Ave,Scarborough,6199,FINCH AVE E
4802,178,13451212,Lawrence Ave E,Pharmacy Ave,178,"{'type': 'Point', 'coordinates': (-79.3046450113134, 43.74324200256311)}",,,,2021-07-29T04:00:00,,PHARMACY AVE,LAWRENCE AVE E,PHARMACY AVE,178,,408,,41,Scarborough Centre(21),,,,Lawrence Ave E And Pharmacy Ave,Scarborough,6200,LAWRENCE AVE E
4803,179,13464451,Jane St,Dundas St W,179,"{'type': 'Point', 'coordinates': (-79.4911860014992, 43.6657339991971)}",,,,2022-05-19T04:00:00,,DUNDAS ST W,JANE ST,DUNDAS ST W,179,,185,,11,Parkdale-High Park(4),,,,Jane St And Dundas St W,Toronto and East York,6201,JANE ST
4804,180,13450997,Eglinton Ave E,Markham Rd,180,"{'type': 'Point', 'coordinates': (-79.2189130009699, 43.7431820018927)}",,,,2021-06-23T04:00:00,,MARKHAM RD,EGLINTON AVE E,MARKHAM RD,180,,463,,43,Scarborough Southwest(20),,Scarborough Guildwood(24),,Eglinton Ave E And Markham Rd,Scarborough,6203,EGLINTON AVE E
4805,181,13455129,St Clair Ave E,Danforth Rd,181,"{'type': 'Point', 'coordinates': (-79.2599200046733, 43.716846011755)}",,,,2021-04-27T04:00:00,,DANFORTH RD,ST CLAIR AVE E,DANFORTH RD,181,,392,,41,Scarborough Southwest(20),,,,St Clair Ave E And Danforth Rd,Scarborough,6205,ST CLAIR AVE E
4806,182,13449204,Lawrence Ave E,McCowan Rd,182,"{'type': 'Point', 'coordinates': (-79.2454219966348, 43.7555480047005)}",,,,2021-08-16T04:00:00,,MCCOWAN RD,LAWRENCE AVE E,MCCOWAN RD,182,,380,,43,Scarborough Centre(21),,Scarborough-Guildwood(24),,Lawrence Ave E And Mccowan Rd,Scarborough,6206,LAWRENCE AVE E
4807,183,20154546,Morningside Ave,401 C W Morningside Ave N Ramp,183,"{'type': 'Point', 'coordinates': (-79.1977450106576, 43.7978289967425)}",,,,2021-06-23T04:00:00,CINEMART DR,401 C W MORNINGSIDE AVE N RAMP,MORNINGSIDE AVE,401 C W MORNINGSIDE AVE N RAMP,183,,1546,HWY 401 NORTH INTERSECTION,42,Scarborough-Rouge Park(25),,,,Morningside Ave And 401 C W Morningside Ave N Ramp / Cinemart Dr,Scarborough,6207,MORNINGSIDE AVE
